"en","key","enAbbrev","Spanish","write-in","esAbbrev","es","✓","Portuguese","write-in","ptAbbrev","pt","✓","French","write-in","frAbbrev","fr","✓","Hebrew","write-in","heAbbrev","he","✓","Arabic","write-in","arAbbrev","ar","✓","Hindi","write-in","hiAbbrev","hi","✓","Bengali","write-in","bnAbbrev","bn","✓","Oriya","write-in","orAbbrev","or","✓","as","asAbbrev","✓","Indonesian","write-in","idAbbrev","id","✓","Russian","write-in","ruAbbrev","ru","✓","Mandarin Chinese (simplified)","write-in","zhAbbrev","zh","✓","Hausa","write-in","haAbbrev","ha","✓","Swahili","write-in","swAbbrev","sw","✓","Amharic","write-in","amAbbrev","am","✓","Thai","write-in","thAbbrev","th","✓","Malay","write-in","msAbbrev","ms","✓","Filipino","write-in","filAbbrev","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"demonstrative","dem","dem","demostrativo","demostrativo","dem","demostrativo","TRUE","demonstrativo","demonstrativo","","demonstrativo","TRUE","démonstratif","démonstratif","dém","démonstratif","TRUE","הַפגָנָתִי","כינוי רמז","","כינוי רמז","TRUE","إيضاحي","اسم الاشارة","اس اش","اسم الاشارة","FALSE","ठोस","निदर्शनात्तमक /  संकेतसूचक","","निदर्शनात्तमक /  संकेतसूचक","TRUE","নির্দেশক","নির্দেশক","নি.","নির্দেশক","TRUE","demonstrative","","","demonstrative","FALSE","","","FALSE","demonstratif","demonstratif","","demonstratif","TRUE","демонстративный","указатель","","указатель","TRUE","示范","","","示范","FALSE","demonstrative","","","demonstrative","FALSE","demonstrative","Kionyeshi","ko","Kionyeshi","TRUE","demonstrative","አመልካች ተውላጠስም","","አመልካች ተውላጠስም","TRUE","ซึ่งแสดงให้เห็น","","","ซึ่งแสดงให้เห็น","FALSE","demonstratif","kata ganti nama penunjuk","","kata ganti nama penunjuk","TRUE","demanda","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"plural noun","n pl","n pl","sustantivo plural","sustantivo plural","s.pl","sustantivo plural","TRUE","substantivo plural","substantivo plural","","substantivo plural","TRUE","nom pluriel","nom pluriel","n. pl.","nom pluriel","TRUE","שם עצם ברבים","","","שם עצם ברבים","TRUE","الجمع إسم","اسم بصيغة الجمع","اس جمع","اسم بصيغة الجمع","FALSE","बहुवचन संज्ञा","बहुवचन संज्ञा","","बहुवचन संज्ञा","TRUE","বহুবচন বিশেষ্য","বহুবচন বিশেষ্য","বহু বি.","বহুবচন বিশেষ্য","TRUE","ବହୁବଚନ ବିଶେଷ୍ୟ","","","ବହୁବଚନ ବିଶେଷ୍ୟ","FALSE","","","FALSE","bentuk jamak kata benda","nomina jamak","","nomina jamak","TRUE","множественное число существительного","множественное существительное","","множественное существительное","TRUE","复数名词","","","复数名词","FALSE","jam'in","","","jam'in","FALSE","wingi wa jina","Nomino ya Wingi","nm w","Nomino ya Wingi","TRUE","የብዙ ቁጥር ስም","ስም በብዙ ቁጥር","","ስም በብዙ ቁጥር","TRUE","คำนามพหูพจน์","","","คำนามพหูพจน์","FALSE","kata nama majmuk","kata majmuk","","kata majmuk","TRUE","plural noun","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phrase","phr","phr","frase","frase","fr","frase","TRUE","frase","frase","","frase","TRUE","phrase","proposition","prop.","proposition","TRUE","מִשׁפָּט","צירוף","","צירוף","TRUE","العبارة","عبارة/شبه جملة","ش ج","عبارة/شبه جملة","FALSE","मुहावरा","वाक्यांश / पदबंध","","वाक्यांश / पदबंध","TRUE","ফ্রেজ","বাক্যাংশ","বা.শ.","বাক্যাংশ","TRUE","େଲଖିବା ବା କହିବା ରୀତି","","","େଲଖିବା ବା କହିବା ରୀତି","FALSE","","","FALSE","frasa","frasa","","frasa","TRUE","фраза","словосочетание","","словосочетание","TRUE","短语","","","短语","FALSE","magana","","","magana","FALSE","maneno","Kirai","kr","Kirai","TRUE","ሐረግ","ሐረግ","","ሐረግ","TRUE","วลี","","","วลี","FALSE","ungkapan","frasa","","frasa","TRUE","parirala","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"particle","p","p","partícula","partícula","part","partícula","TRUE","partícula","partícula","","partícula","TRUE","particule","particule","part.","particule","TRUE","חֶלְקִיק","מילית","","מילית","TRUE","جسيم","أداة/حرف","أ ج","أداة/حرف","FALSE","कण","निपात","","निपात","TRUE","কণা","নিপাত","নিপ.","নিপাত","TRUE","particle","","","particle","FALSE","","","FALSE","partikel","partikel","","partikel","TRUE","частица","","","частица","TRUE","粒子","","","粒子","FALSE","barbashi","","","barbashi","FALSE","chembe","Kiambishi","ka","Kiambishi","TRUE","ቅንጣት","ቅንጣት ምዕላድ","","ቅንጣት ምዕላድ","TRUE","อนุภาค","","","อนุภาค","FALSE","zarah","partikel","","partikel","TRUE","maliit na butil","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative","neg","neg","negativo","negativo","neg","negativo","TRUE","negativo","negativa","","negativa","TRUE","négatif","négatif","nég.","négatif","TRUE","שלילי","מילת שלילה","","מילת שלילה","FALSE","سلبي","نفي","نف","نفي","FALSE","नकारात्मक","नकारात्मक","","नकारात्मक","TRUE","নেতিবাচক","নঞর্থক","নঞ.","নঞর্থক","TRUE","ନାସ୍ତିସୁଚକ","","","ନାସ୍ତିସୁଚକ","FALSE","","","FALSE","negatif","negatif","","negatif","TRUE","отрицательный","отрицательный маркер","","отрицательный маркер","TRUE","负","","","负","FALSE","korau","","","korau","FALSE","hasi","Hasi","hs","Hasi","TRUE","አፍራሽ","አሉታ","","አሉታ","TRUE","เชิงลบ","","","เชิงลบ","FALSE","negatif","negatif","","negatif","TRUE","negatibo","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"quantifier","quan","quan","cuantificador","cuantificador","cuant","cuantificador","TRUE","quantificador","quantificador","","quantificador","TRUE","quantificateur","quantificateur","quant.","quantificateur","TRUE","כמת","","","כמת","TRUE","محدد الكمية","مكمم","مك","مكمم","FALSE","परिमाणक","परिमाणवाचक","","परिमाणवाचक","TRUE","কোয়ান্টিফায়ার","পরিমাণক","পরি.","পরিমাণক","TRUE","quantifier","","","quantifier","FALSE","","","FALSE","pembilang","pembilang","","pembilang","TRUE","квантор","счётное слово","","счётное слово","TRUE","量词","","","量词","FALSE","quantifier","","","quantifier","FALSE","watakwimu","Kiambishi idadi","kai","Kiambishi idadi","TRUE","quantifier","መጣኝ","","መጣኝ","TRUE","ปริมาณ","","","ปริมาณ","FALSE","Quantifier.","kata bilangan","","kata bilangan","TRUE","quantifier.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"relative","rel","rel","relativo","relativo","rel","relativo","TRUE","relativo","relativo","","relativo","TRUE","relatif","relatif","rel.","relatif","TRUE","קרוב משפחה","כינוי זיקה","","כינוי זיקה","TRUE","نسبيا","موصول","موص","موصول","FALSE","सापेक्ष","संबंधवाचक","","संबंधवाचक","TRUE","আপেক্ষিক","সংযোগবাচক","সং.","সংযোগবাচক","TRUE","ସାେପକ୍ଷ","","","ସାେପକ୍ଷ","FALSE","","","FALSE","relatif","relatif","","relatif","TRUE","родственник","относительный","","относительный","TRUE","相对的","","","相对的","FALSE","dangi","","","dangi","FALSE","jamaa","Rejeshi","rj","Rejeshi","TRUE","ዘመድ","ተዛማጅ","","ተዛማጅ","TRUE","เกี่ยวกับญาติ","","","เกี่ยวกับญาติ","FALSE","relatif","relatif","","relatif","TRUE","kamag-anak","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"auxiliary verb","v.aux","v.aux","verbo auxiliar","verbo auxiliar","v.aux","verbo auxiliar","TRUE","verbo auxiliar","verbo auxiliar","","verbo auxiliar","TRUE","verbe auxiliaire","verbe auxiliaire","v. aux.","verbe auxiliaire","TRUE","פועל עזר","","","פועל עזר","TRUE","فعل مساعد","فعل مساعد","فعل مس","فعل مساعد","FALSE","सहायक क्रिया","सहायक क्रिया","","सहायक क्रिया","TRUE","সাহায্যকারী ভার্ব","সহায়ক ক্রিয়া","সহ.ক্রি.","সহায়ক ক্রিয়া","TRUE","ସହକାରୀ କ୍ରିୟାପଦ","","","ସହକାରୀ କ୍ରିୟାପଦ","FALSE","","","FALSE","kata kerja bantu","verba bantu","","verba bantu","TRUE","вспомогательный глагол","","","вспомогательный глагол","TRUE","助动词","","","助动词","FALSE","iso ga aikatau","","","iso ga aikatau","FALSE","saidizi kitenzi","Kitenzi kisaidizi","t","Kitenzi kisaidizi","TRUE","ረዳት ግስ","ረዳት ግስ","","ረዳት ግስ","TRUE","กริยาช่วย","","","กริยาช่วย","FALSE","kata kerja tambahan","kata bantu","","kata bantu","TRUE","pandiwang pantulong","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"animate demonstrative","dem.a","dem.a","animado demostrativa","demostrativo animado","dem.anim","demostrativo animado","TRUE","animado demonstrativo","demonstrativo animado","","demonstrativo animado","TRUE","Animer démonstratif","démonstratif animé","dém. anim.","démonstratif animé","TRUE","הנפשת הפגנתי","כינוי רמז לחי/בעל נפש","","כינוי רמז לחי/בעל נפש","TRUE","الأرواح برهاني","اسم اشارة للعاقل","اس اش عق","اسم اشارة للعاقل","FALSE","चेतन प्रदर्शन-परक","सजीव संकेतसूचक","","सजीव संकेतसूचक","TRUE","সজীব প্রদর্শনমূলক","প্রাণীবাচক নির্দেশক","প্রা. নি.","প্রাণীবাচক নির্দেশক","TRUE","ଆପଣ ନିଶ୍ଚିତ demonstrative","","","ଆପଣ ନିଶ୍ଚିତ demonstrative","FALSE","","","FALSE","bernyawa demonstratif","demonstratif bernyawa","","demonstratif bernyawa","TRUE","одушевленные демонстративное","одушевленное указательное","","одушевленное указательное","TRUE","动画演示","","","动画演示","FALSE","mai rai demonstrative","","","mai rai demonstrative","FALSE","animate demonstrative","Kionyeshi hisivu","koh","Kionyeshi hisivu","TRUE","ሕያዋንና demonstrative","ሕያው አመልካች ተውላጠስም","","ሕያው አመልካች ተውላጠስም","TRUE","ภาพเคลื่อนไหวสาธิต","","","ภาพเคลื่อนไหวสาธิต","FALSE","menonjolkan demonstratif","penunjuk bernyawa","","penunjuk bernyawa","TRUE","I-animate ang Demetrative.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"inanimate demonstrative","dem.i","dem.i","inanimada demostrativa","demostrativo inanimado","dem.inam","demostrativo inanimado","TRUE","inanimado demonstrativo","demonstrativo inanimado","","demonstrativo inanimado","TRUE","inanimé démonstratif","démonstratif inanimé","dém. inam.","démonstratif inanimé","TRUE","דוממים הפגנתי","כינוי רמז לדומם","","כינוי רמז לדומם","TRUE","جماد برهاني","اسم إشارة لغير العاقل","","اسم إشارة لغير العاقل","FALSE","निर्जीव प्रदर्शन-परक","निर्जीव संकेतसूचक","","निर्जीव संकेतसूचक","TRUE","জড় প্রদর্শনমূলক","অপ্রাণীবাচক নির্দেশক","অপ্রা.নি.","অপ্রাণীবাচক নির্দেশক","TRUE","inanimate demonstrative","","","inanimate demonstrative","FALSE","","","FALSE","mati demonstratif","demonstratif tak bernyawa","","demonstratif tak bernyawa","TRUE","неодушевленный демонстративное","неодушевленное указательное","","неодушевленное указательное","TRUE","无生命示范","","","无生命示范","FALSE","matattun demonstrative","","","matattun demonstrative","FALSE","inanimate demonstrative","Kionyeshi isohisivu","koih","Kionyeshi isohisivu","TRUE","ግዑዛን demonstrative","ግኡዝ አመልካች ተውላጠስም","","ግኡዝ አመልካች ተውላጠስም","TRUE","แสดงให้เห็นไม่มีชีวิต","","","แสดงให้เห็นไม่มีชีวิต","FALSE","menonjolkan demam","penunjuk tidak bernyawa","","penunjuk tidak bernyawa","TRUE","walang buhay na pagpapakita","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"locative demonstrative","dem.loc","dem.loc","demostrativa locativa","demostrativo locativo","dem.loc","demostrativo locativo","TRUE","demonstrativo locativo","demonstrativo locativo","","demonstrativo locativo","TRUE","démonstratif géolocalisé","démonstratif locatif","dém. loc.","démonstratif locatif","TRUE","הפגין יַחֲסַת הַמָקוֹם","כינוי רמז מיוחס מקום/ה""א המגמה","","כינוי רמז מיוחס מקום/ה""א המגמה","FALSE","برهاني ظرفي","اسم إشارة للمكان","","اسم إشارة للمكان","FALSE","लोकैटिव प्रदर्शन-परक","अधिकरण संकेतसूचक","","अधिकरण संकेतसूचक","TRUE","অধিকরণ প্রদর্শনমূলক","স্থানবাচক নির্দেশক","স্থা.নি.","স্থানবাচক নির্দেশক","TRUE","locative demonstrative","","","locative demonstrative","FALSE","","","FALSE","demonstratif lokatif","demonstratif lokatif","","demonstratif lokatif","TRUE","падеж демонстративное","локативное указательное","","локативное указательное","TRUE","方位示范","","","方位示范","FALSE","locative demonstrative","","","locative demonstrative","FALSE","locative demonstrative","Kionyeshi mahali","kom","Kionyeshi mahali","TRUE","locative demonstrative","የቦታ አመልካች ተውላጠስም","","የቦታ አመልካች ተውላጠስም","TRUE","จุดประสงค์ในตำแหน่ง","","","จุดประสงค์ในตำแหน่ง","FALSE","Demonstrasi locatif.","penunjuk lokatif","","penunjuk lokatif","TRUE","locative demandative.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
