"en","key","Spanish","write-in","es","✓","Portuguese","write-in","pt","✓","French","write-in","fr","✓","Hebrew","write-in","he","✓","Arabic","write-in","ar","✓","Hindi","write-in","hi","✓","Bengali","write-in","bn","✓","Oriya","write-in","or","✓","Assamese","as","✓","Indonesian","write-in","id","✓","Russian","write-in","ru","✓","Mandarin Chinese (simplified)","write-in","zh","✓","Hausa","write-in","ha","✓","Swahili","write-in","sw","✓","Amharic","write-in","am","✓","Malay","write-in","ms","✓","Filipino","write-in","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Household","5.1","Casa","Hogar","Hogar","TRUE","casa","Agregado familiar","Agregado familiar","TRUE","Ménage","Le domicile","Le domicile","TRUE","בית","משק בית","משק בית","TRUE","منزلي","الأُسر/ المنازل","الأُسر/ المنازل","FALSE","गृहस्थी","","गृहस्थी","FALSE","পরিবার","গৃহস্থালীর","গৃহস্থালীর","TRUE","ଘର ପରିସର","","ଘର ପରିସର","FALSE","","","FALSE","Rumah tangga","Rumah tangga","Rumah tangga","TRUE","Домашнее хозяйство","","Домашнее хозяйство","TRUE","家庭","","家庭","FALSE","Household","","Household","FALSE","Kaya","Kaya","Kaya","TRUE","ቤተሰብ","ቤተሰብ","ቤተሰብ","TRUE","Isi rumah","Rumahtangga","Rumahtangga","TRUE","Sambahayan","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agriculture","5.2","Agricultura","Agricultura","Agricultura","TRUE","Agricultura","Agricultura","Agricultura","TRUE","Agriculture","L'agriculture","L'agriculture","TRUE","חַקלָאוּת","חקלאות","חקלאות","TRUE","الزراعة","الزراعة","الزراعة","FALSE","कृषि","","कृषि","FALSE","কৃষি","কৃষি","কৃষি","TRUE","କୃଷି","","କୃଷି","FALSE","","","FALSE","Pertanian","Pertanian","Pertanian","TRUE","сельское хозяйство","","сельское хозяйство","TRUE","农业","","农业","FALSE","Noma,","","Noma,","FALSE","kilimo","Kilimo","Kilimo","TRUE","እርሻ","ግብርና","ግብርና","TRUE","Pertanian.","Pertanian","Pertanian","TRUE","Agrikultura","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Food, cooking and foodways","5.3","Alimentos, cocinar y costumbres alimenticias","Alimentos, cocina y vías de alimentación","Alimentos, cocina y vías de alimentación","TRUE","Alimentos, cozinhar e foodways","Alimentos, cozinha e tipos de comida","Alimentos, cozinha e tipos de comida","TRUE","La nourriture, la cuisine et les habitudes alimentaires","L'alimentation, la cuisine et les habitudes alimentaires","L'alimentation, la cuisine et les habitudes alimentaires","TRUE","אוכל, בישול foodways","אוכל ובישול","אוכל ובישול","FALSE","الغذاء والطبخ وfoodways","الأكل والغذاء","الأكل والغذاء","FALSE","खाद्य, खाना पकाने और foodways","","खाद्य, खाना पकाने और foodways","FALSE","খাদ্য, রান্না এবং foodways","খাদ্য, রান্নাঘর এবং খাদ্যপথ","খাদ্য, রান্নাঘর এবং খাদ্যপথ","TRUE","ଖାଦ୍ୟ, ରନ୍ଧନ ଏବଂ foodways","","ଖାଦ୍ୟ, ରନ୍ଧନ ଏବଂ foodways","FALSE","","","FALSE","Makanan, memasak dan foodways","Makanan, memasak dan pengadaan pangan","Makanan, memasak dan pengadaan pangan","TRUE","Продукты питания, приготовления пищи и foodways","Продукты питания и приготовление пищи","Продукты питания и приготовление пищи","TRUE","食品，烹饪和foodways","","食品，烹饪和foodways","FALSE","Abinci, dafa abinci da kuma foodways","","Abinci, dafa abinci da kuma foodways","FALSE","Chakula, kupikia na foodways","Chakula, upikaji na ulaji","Chakula, upikaji na ulaji","TRUE","ምግብ, ምግብ ማብሰል እና የምግብ መንገዶች","ምግብና ምግብ ማብሰል","ምግብና ምግብ ማብሰል","TRUE","Makanan, memasak dan makanan","Makanan, memasak dan perolehan makanan","Makanan, memasak dan perolehan makanan","TRUE","Pagkain, pagluluto at mga pagkain","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Clothing and adornment","5.4","Indumentaria y adorno","Ropa y adornos","Ropa y adornos","TRUE","Vestuário e adorno","Vestuário e adorno","Vestuário e adorno","TRUE","Vêtements et parure","Les vêtements et les accessoires","Les vêtements et les accessoires","TRUE","ביגוד קישוט","","ביגוד קישוט","TRUE","الملابس والزينة","الملابس والزينة","الملابس والزينة","FALSE","वस्त्र और अलंकरण","","वस्त्र और अलंकरण","FALSE","পোশাক ও সাজ-সজ্জাকে,","পোশাক এবং শোভাকর","পোশাক এবং শোভাকর","TRUE","ପୋଷାକ ଏବଂ adornment","","ପୋଷାକ ଏବଂ adornment","FALSE","","","FALSE","Pakaian dan perhiasan","Pakaian dan perhiasan","Pakaian dan perhiasan","TRUE","Одежда и украшения","","Одежда и украшения","TRUE","服装和装饰","","服装和装饰","FALSE","Tufafi da ƙawa","","Tufafi da ƙawa","FALSE","Nguo na mapambo","Mavazi na mapambo","Mavazi na mapambo","TRUE","ልብስ እና ጌጣጌጥ","አልባሳት እና ጌጣጌጥ","አልባሳት እና ጌጣጌጥ","TRUE","Pakaian dan perhiasan","Pakaian dan perhiasan","Pakaian dan perhiasan","TRUE","Damit at adornment","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cleanliness and hygiene","5.5","La limpieza y la higiene","Limpieza e higiene","Limpieza e higiene","TRUE","Limpeza e higiene","Limpeza e higiene","Limpeza e higiene","TRUE","La propreté et l'hygiène","La propreté et l'hygiène","La propreté et l'hygiène","TRUE","ניקיון והיגיינה","","ניקיון והיגיינה","TRUE","النظافة والنظافة","النظافة والعناية الشخصية","النظافة والعناية الشخصية","FALSE","साफ-सफाई और स्वच्छता","","साफ-सफाई और स्वच्छता","FALSE","পরিচ্ছন্নতা এবং স্বাস্থ্যবিধি","পরিচ্ছন্নতা এবং স্বাস্থ্যবিধি","পরিচ্ছন্নতা এবং স্বাস্থ্যবিধি","TRUE","ବିଶୁଦ୍ଧ କରଣ ଏବଂ ସ୍ବାସ୍ଥ୍ଯ ବିଜ୍ଞାନ","","ବିଶୁଦ୍ଧ କରଣ ଏବଂ ସ୍ବାସ୍ଥ୍ଯ ବିଜ୍ଞାନ","FALSE","","","FALSE","Kebersihan dan kesehatan","Kebersihan dan kesehatan","Kebersihan dan kesehatan","TRUE","Чистота и гигиена","","Чистота и гигиена","TRUE","清洁和卫生","","清洁和卫生","FALSE","M da kuma tsabta","","M da kuma tsabta","FALSE","Usafi na usafi","Usafi na umaridadi","Usafi na umaridadi","TRUE","ንፅህና እና ንፅህና","ንፅህና እና ንፅህና","ንፅህና እና ንፅህና","TRUE","Kebersihan dan Kebersihan","Kebersihan dan kesihatan","Kebersihan dan kesihatan","TRUE","Kalinisan at kalinisan","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sleep","5.6","Dormir","Sueño","Sueño","TRUE","Dormir","Dormir","Dormir","TRUE","Dormir","Le sommeil","Le sommeil","TRUE","לִישׁוֹן","שינה","שינה","TRUE","ينام","النوم","النوم","FALSE","नींद","","नींद","FALSE","ঘুম","ঘুম","ঘুম","TRUE","ଶୟନ","","ଶୟନ","FALSE","","","FALSE","Tidur","Tidur","Tidur","TRUE","Спать","сон","сон","TRUE","睡觉","","睡觉","FALSE","barci","","barci","FALSE","Sleep","Usingizi","Usingizi","TRUE","እንቅልፍ","እንቅልፍ","እንቅልፍ","TRUE","Tidur","Tidur","Tidur","TRUE","Matulog","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Work and occupations","5.7","Trabajo y ocupaciones","Trabajo y ocupaciones","Trabajo y ocupaciones","TRUE","Trabalho e ocupações","Trabalho e ocupações","Trabalho e ocupações","TRUE","Travail et professions","Le travail et les occupations","Le travail et les occupations","TRUE","עבודה ועיסוקים","","עבודה ועיסוקים","FALSE","العمل والمهن","المهن والوظائف","المهن والوظائف","FALSE","कार्य और व्यवसायों","","कार्य और व्यवसायों","FALSE","কর্ম ও পেশা","কাজ এবং পেশা","কাজ এবং পেশা","TRUE","କାର୍ଯ୍ୟ ଏବଂ occupations","","କାର୍ଯ୍ୟ ଏବଂ occupations","FALSE","","","FALSE","Kerja dan pekerjaan","Kerja dan pekerjaan","Kerja dan pekerjaan","TRUE","Работа и профессии","","Работа и профессии","TRUE","工作和职业","","工作和职业","FALSE","Aiki da aikin da","","Aiki da aikin da","FALSE","Kazi na kazi","Kazi na nyanja za kazi","Kazi na nyanja za kazi","TRUE","ሥራ እና ሥራ","ሥራ እና ሙያዎች","ሥራ እና ሙያዎች","TRUE","Kerja dan pekerjaan","Kerja dan pekerjaan","Kerja dan pekerjaan","TRUE","Trabaho at trabaho","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Animal husbandry","5.8","La cría de animales","Ganadería","Ganadería","TRUE","Criação animal","Criação de animais","Criação de animais","TRUE","Élevage","L'élevage","L'élevage","TRUE","גידול בעלי חיים","","גידול בעלי חיים","TRUE","تربية الحيوان","تربية المواشي","تربية المواشي","FALSE","पशुपालन","","पशुपालन","FALSE","পশুপালন","পশুপালন","পশুপালন","TRUE","ପ୍ରାଣୀ କୃଷିକର୍ମକୁ","","ପ୍ରାଣୀ କୃଷିକର୍ମକୁ","FALSE","","","FALSE","Peternakan","Peternakan","Peternakan","TRUE","Животноводство","","Животноводство","TRUE","畜牧业","","畜牧业","FALSE","animal husbandry","","animal husbandry","FALSE","Ufugaji","Ufugaji","Ufugaji","TRUE","የእንስሳት እርባታ","የእንስሳት እርባታ","የእንስሳት እርባታ","TRUE","Perternakan haiwan","Penternakan haiwan","Penternakan haiwan","TRUE","Pagpaparami ng mga hayop","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tools and weapons","5.9","Herramientas y armas","Herramientas y armas","Herramientas y armas","TRUE","Ferramentas e armas","Ferramentas e armas","Ferramentas e armas","TRUE","Outils et armes","Les outils et les armes","Les outils et les armes","TRUE","כלים וכלי נשק","","כלים וכלי נשק","TRUE","الأدوات والأسلحة","الأدوات والأسلحة","الأدوات والأسلحة","FALSE","उपकरण और हथियार","","उपकरण और हथियार","FALSE","সরঞ্জাম ও অস্ত্র","সরঞ্জাম এবং অস্ত্র","সরঞ্জাম এবং অস্ত্র","TRUE","ଉପକରଣ ଓ ଅସ୍ତ୍ରଶସ୍ତ୍ର","","ଉପକରଣ ଓ ଅସ୍ତ୍ରଶସ୍ତ୍ର","FALSE","","","FALSE","Alat dan senjata","Alat dan senjata","Alat dan senjata","TRUE","Инструменты и оружие","","Инструменты и оружие","TRUE","工具和武器","","工具和武器","FALSE","Tools da makamai","","Tools da makamai","FALSE","Zana na silaha","Zana na silaha","Zana na silaha","TRUE","መሣሪያዎች እና መሳሪያዎች","መሣሪያዎች እና የጦር መሣሪያዎች","መሣሪያዎች እና የጦር መሣሪያዎች","TRUE","Alat dan senjata","Alat dan senjata","Alat dan senjata","TRUE","Mga tool at armas","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finance and Business","5.10","Finanzas y Negocios","Finanzas y Negocios","Finanzas y Negocios","TRUE","Finanças e Negócios","Finanças e Negócios","Finanças e Negócios","TRUE","Finances et affaires","La finance et les affaires","La finance et les affaires","TRUE","אוצר עסקים","כלכלה ועסקים","כלכלה ועסקים","TRUE","المالية والأعمال","المال والأعمال","المال والأعمال","FALSE","वित्त और व्यापार","","वित्त और व्यापार","FALSE","অর্থ ও ব্যবসা-প্রতিষ্ঠান","অর্থ ও ব্যবসা","অর্থ ও ব্যবসা","TRUE","ଆର୍ଥିକ ଏବଂ ବ୍ୟବସାୟ","","ଆର୍ଥିକ ଏବଂ ବ୍ୟବସାୟ","FALSE","","","FALSE","Keuangan dan Bisnis","Keuangan dan Bisnis","Keuangan dan Bisnis","TRUE","Финансы и бизнес","","Финансы и бизнес","TRUE","金融与商务","","金融与商务","FALSE","Finance da kuma Business","","Finance da kuma Business","FALSE","Fedha na Biashara","Fedha na Biashara","Fedha na Biashara","TRUE","ፋይናንስ እና ንግድ","ፋይናንስ እና ንግድ","ፋይናንስ እና ንግድ","TRUE","Kewangan dan perniagaan","Kewangan dan Perniagaan","Kewangan dan Perniagaan","TRUE","Pananalapi at negosyo","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hunting and Fishing","5.11","Caza y Pesca","Caza y pesca","Caza y pesca","TRUE","Caça e Pesca","Caça e pesca","Caça e pesca","TRUE","Chasse et pêche","La chasse et la pêche","La chasse et la pêche","TRUE","ציד ודיג","","ציד ודיג","TRUE","الصيد وصيد الأسماك","الصيد وصيد الأسماك ","الصيد وصيد الأسماك ","FALSE","शिकार और मत्स्य पालन","","शिकार और मत्स्य पालन","FALSE","শিকার এবং মাছধরা","শিকার এবং মাছধরা","শিকার এবং মাছধরা","TRUE","ଶିକାର ଏବଂ ମାଛଧରା","","ଶିକାର ଏବଂ ମାଛଧରା","FALSE","","","FALSE","Perburuan dan Perikanan","Perburuan dan Perikanan","Perburuan dan Perikanan","TRUE","Охота и рыбалка","","Охота и рыбалка","TRUE","狩猎和捕鱼","","狩猎和捕鱼","FALSE","Farauta da Fishing","","Farauta da Fishing","FALSE","Uwindaji na Uvuvi","Uwindaji na Uvuvi","Uwindaji na Uvuvi","TRUE","ማደን እና ማጥመድ","ማደን እና ማጥመድ","ማደን እና ማጥመድ","TRUE","Memburu dan memancing","Perburuan dan Perikanan","Perburuan dan Perikanan","TRUE","Pangangaso at Pangingisda","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Art, crafts and textiles","5.12","Arte, artesanía y textiles","Arte, artesanía y textiles","Arte, artesanía y textiles","TRUE","Arte, artesanato e têxteis","Arte, artesanato e têxteis ","Arte, artesanato e têxteis ","TRUE","Art, artisanat et textiles","L'art, l'artisanat et les textiles","L'art, l'artisanat et les textiles","TRUE","אמנות, מלאכת יד וטקסטיל","","אמנות, מלאכת יד וטקסטיל","FALSE","الفن والحرف اليدوية والمنسوجات","الفن والحِرَف والنسيج","الفن والحِرَف والنسيج","FALSE","कला, शिल्प और वस्त्र","","कला, शिल्प और वस्त्र","FALSE","শিল্প, কারুশিল্প ও বস্ত্র","শিল্প, কারুশিল্প ও বস্ত্র","শিল্প, কারুশিল্প ও বস্ত্র","TRUE","କଳା, କ୍ରାଫ୍ଟଗୁଡିକ ଏବଂ textiles","","କଳା, କ୍ରାଫ୍ଟଗୁଡିକ ଏବଂ textiles","FALSE","","","FALSE","Seni, kerajinan dan tekstil","Seni, kerajinan dan tekstil","Seni, kerajinan dan tekstil","TRUE","Искусство, ремесла и текстиль","Искусство, ремесла и ткани","Искусство, ремесла и ткани","TRUE","艺术，工艺品和纺织品","","艺术，工艺品和纺织品","FALSE","Art, crafts da kuma Textiles","","Art, crafts da kuma Textiles","FALSE","Sanaa, ufundi na nguo","Sanaa, ufundi na nguo","Sanaa, ufundi na nguo","TRUE","ስነጥበብ, የእጅ ሥራዎች እና ጨርቃጨርቅ","ስነጥበብ እና የጨርቃ ጨርቅ ሥራ","ስነጥበብ እና የጨርቃ ጨርቅ ሥራ","TRUE","Seni, Kraf dan Tekstil","Seni, kraf dan tekstil","Seni, kraf dan tekstil","TRUE","Art, crafts at textiles.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Construction","5.13","Construcción","Construcción","Construcción","TRUE","Construção","Construção","Construção","TRUE","Construction","La construction","La construction","TRUE","בְּנִיָה","בנייה","בנייה","TRUE","اعمال بناء","أعمال البناء والإنشاء","أعمال البناء والإنشاء","FALSE","निर्माण","","निर्माण","FALSE","নির্মাণ","নির্মাণ","নির্মাণ","TRUE","ନିର୍ମାଣ","","ନିର୍ମାଣ","FALSE","","","FALSE","Konstruksi","Konstruksi","Konstruksi","TRUE","строительство","","строительство","TRUE","施工","","施工","FALSE","Construction","","Construction","FALSE","Ujenzi","Ujenzi","Ujenzi","TRUE","ግንባታ","ግንባታ","ግንባታ","TRUE","Pembinaan","Pembinaan","Pembinaan","TRUE","Konstruksiyon","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sports and games","5.14","Deportes y juegos","Deportes y juegos","Deportes y juegos","TRUE","Esportes e jogos","Desporto e jogos","Desporto e jogos","TRUE","Sports et jeux","Les sports et les jeux","Les sports et les jeux","TRUE","ספורט ומשחקים","","ספורט ומשחקים","TRUE","الرياضة والألعاب","الرياضة والألعاب","الرياضة والألعاب","FALSE","खेल और क्रीड़ा","","खेल और क्रीड़ा","FALSE","ক্রীড়া এবং গেম","ক্রিয়া এবং খেলাধুলা","ক্রিয়া এবং খেলাধুলা","TRUE","ଖେଳ ଏବଂ ଗେମ୍","","ଖେଳ ଏବଂ ଗେମ୍","FALSE","","","FALSE","Olahraga dan permainan","Olahraga dan permainan","Olahraga dan permainan","TRUE","Спорт и игры","","Спорт и игры","TRUE","体育和游戏","","体育和游戏","FALSE","Wasanni da wasanni","","Wasanni da wasanni","FALSE","Michezo na michezo","Michezo","Michezo","TRUE","ስፖርት እና ጨዋታዎች","ስፖርት እና ጨዋታዎች","ስፖርት እና ጨዋታዎች","TRUE","Sukan dan permainan","Sukan dan permainan","Sukan dan permainan","TRUE","Mga sports at mga laro","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Transportation","5.15","Transporte","Transporte","Transporte","TRUE","Transporte","Transporte","Transporte","TRUE","Transport","Le transport","Le transport","TRUE","הוֹבָלָה","הובלה","הובלה","FALSE","وسائل النقل","النقل","النقل","FALSE","परिवहन","","परिवहन","FALSE","পরিবহন","পরিবহন","পরিবহন","TRUE","ପରିବହନ","","ପରିବହନ","FALSE","","","FALSE","Angkutan","Transportasi","Transportasi","TRUE","Транспорт","","Транспорт","TRUE","运输","","运输","FALSE","sufuri","","sufuri","FALSE","Usafiri","Usafirishaji","Usafirishaji","TRUE","መጓጓዣ","መጓጓዣ","መጓጓዣ","TRUE","Pengangkutan","Pengangkutan","Pengangkutan","TRUE","Transportasyon","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spirituality and Religion","5.16","Espiritualidad y religión","Espiritualidad y religión","Espiritualidad y religión","TRUE","Espiritualidade e religião","Espiritualidade e religião","Espiritualidade e religião","TRUE","Spiritualité et religion","La spiritualité et la religion","La spiritualité et la religion","TRUE","רוחניות ודת","","רוחניות ודת","TRUE","الروحانية والدين","الروحانية والدين","الروحانية والدين","FALSE","अध्यात्म और धर्म","","अध्यात्म और धर्म","FALSE","আধ্যাত্মিকতা এবং ধর্ম","আধ্যাত্মিকতা এবং ধর্ম","আধ্যাত্মিকতা এবং ধর্ম","TRUE","Spirituality ଏବଂ ଜାତି","","Spirituality ଏବଂ ଜାତି","FALSE","","","FALSE","Spiritualitas dan Agama","Spiritualitas dan Agama","Spiritualitas dan Agama","TRUE","Духовность и религия","","Духовность и религия","TRUE","精神与宗教","","精神与宗教","FALSE","Ruhi da kuma addinin","","Ruhi da kuma addinin","FALSE","Kiroho na Dini","Mambo ya kiroho na dini","Mambo ya kiroho na dini","TRUE","መንፈሳዊነት እና ሃይማኖት","መንፈሳዊነት እና ሃይማኖት","መንፈሳዊነት እና ሃይማኖት","TRUE","Kerohanian dan agama","Kerohanian dan Agama","Kerohanian dan Agama","TRUE","Espirituwalidad at relihiyon","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Physical Actions and States","6","Acciones físicas y los Estados","Acciones Físicas y Estados","Acciones Físicas y Estados","TRUE","Ações físicas e Estados","Acções Físicas e Estados","Acções Físicas e Estados","TRUE","Actions physiques et les États","Les actions et les états physiques","Les actions et les états physiques","TRUE","פעולות פיזיות ו הברית","פעולות גופניות ומצבים גופניים","פעולות גופניות ומצבים גופניים","FALSE","تطبيقات المادية والدول","الأوضاع والحركات البدنية","الأوضاع والحركات البدنية","FALSE","शारीरिक क्रिया और राज्यों","","शारीरिक क्रिया और राज्यों","FALSE","শারীর পদক্ষেপ এবং যুক্তরাষ্ট্র","শারীরিক ক্রিয়া এবং রাষ্ট্রসমূহ","শারীরিক ক্রিয়া এবং রাষ্ট্রসমূহ","TRUE","States ଭୌତିକ କ୍ରିୟା ଏବଂ","","States ଭୌତିକ କ୍ରିୟା ଏବଂ","FALSE","","","FALSE","Tindakan fisik dan Amerika","Tindakan fisik dan keadaan ","Tindakan fisik dan keadaan ","TRUE","Физические действия и государство","Физические действия и состояния","Физические действия и состояния","TRUE","物理操作和状态","","物理操作和状态","FALSE","Jiki Actions da Amurka","","Jiki Actions da Amurka","FALSE","Vitendo kimwili na Amerika","Vitendo vya mwili na hali","Vitendo vya mwili na hali","TRUE","የአካል እርምጃዎች እና ግዛቶች","አካላዊ እርምጃዎች እና ሁኔታ","አካላዊ እርምጃዎች እና ሁኔታ","TRUE","Tindakan fizikal dan negeri","Tindakan dan keadaan fizikal","Tindakan dan keadaan fizikal","TRUE","Pisikal na mga pagkilos at estado","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Posture","6.1","Postura","Postura","Postura","TRUE","Postura","Postura","Postura","TRUE","Posture","La posture","La posture","TRUE","יְצִיבָה","","יְצִיבָה","FALSE","وضع","الوضع","الوضع","FALSE","आसन","","आसन","FALSE","অঙ্গবিন্যাস","ভঙ্গি","ভঙ্গি","TRUE","ଠାଣି","","ଠାଣି","FALSE","","","FALSE","Sikap","Perawakan","Perawakan","TRUE","осанка","положение тела","положение тела","TRUE","姿势","","姿势","FALSE","hali","","hali","FALSE","mkao","Mkao","Mkao","TRUE","አቀማመጥ","አቀማመጥ","አቀማመጥ","TRUE","Postur","Postur","Postur","TRUE","Posture.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Motion","6.2","Movimiento","Moción","Moción","TRUE","Movimento","Movimento","Movimento","TRUE","Mouvement","Le mouvement","Le mouvement","TRUE","תְנוּעָה","תנועה","תנועה","TRUE","اقتراح","الحركة","الحركة","FALSE","प्रस्ताव","","प्रस्ताव","FALSE","গতি","গতি","গতি","TRUE","ଗତି","","ଗତି","FALSE","","","FALSE","Gerakan","Gerakan","Gerakan","TRUE","движение","","движение","TRUE","运动","","运动","FALSE","Motion","","Motion","FALSE","Motion","Mwondoko","Mwondoko","TRUE","እንቅስቃሴ","እንቅስቃሴ","እንቅስቃሴ","TRUE","Gerakan","Gerakan","Gerakan","TRUE","Galaw.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Possession","6.3","Posesión","Posesión","Posesión","TRUE","Posse","Posse","Posse","TRUE","Possession","La possession","La possession","TRUE","רְשׁוּת","שייכות","שייכות","FALSE","ملكية","الملكية","الملكية","FALSE","अधिकार","","अधिकार","FALSE","দখল","দখল","দখল","TRUE","ଅଧିକାର","","ଅଧିକାର","FALSE","","","FALSE","Milik","Harta Benda","Harta Benda","TRUE","одержимость","","одержимость","TRUE","所有权","","所有权","FALSE","mallaka","","mallaka","FALSE","umiliki","Umiliki","Umiliki","TRUE","መያዝ","መያዝ","መያዝ","TRUE","Pemilikan","Harta benda","Harta benda","TRUE","Pag-aari","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
