"en","vernacularName","vernacularAlternate","key","internalName","showKeyboard","useKeyboard","notes","Spanish","write-in","es","✓","Portuguese","write-in","pt","✓","French","write-in","fr","✓","Hebrew","write-in","he","✓","Arabic","write-in","ar","✓","Hindi","write-in","hi","✓","Bengali","write-in","bn","✓","Oriya","write-in","or","✓","as","✓","Indonesian","write-in","id","✓","Russian","write-in","ru","✓","Mandarin Chinese (simplified)","write-in","zh","✓","Hausa","write-in","ha","✓","Swahili","write-in","sw","✓","Amharic","write-in","am","✓","Thai","write-in","th","✓","Malay","write-in","ms","✓","Filipino","write-in","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arabic","العَرَبِيَّة‎","","ar","Keyboard_sil_arabic_phonetic","true","","Keyboard__arabic_izza didn't work","Arábica","árabe","árabe","TRUE","árabe","Árabe","Árabe","TRUE","arabe","Arabe","Arabe","TRUE","עֲרָבִית","ערבית","ערבית","TRUE","عربى","العربية","العربية","FALSE","अरबी","","अरबी","FALSE","আরবি","আরবি","আরবি","TRUE","ଆରବୀୟ","","ଆରବୀୟ","FALSE","","FALSE","Arab","Bahasa Arab","Bahasa Arab","TRUE","арабский","","арабский","TRUE","阿拉伯","","阿拉伯","FALSE","Larabci","","Larabci","FALSE","Kiarabu","Kiarabu","Kiarabu","TRUE","አረብኛ","አረብኛ","አረብኛ","TRUE","เกี่ยวกับภาษาอาหรับ","","เกี่ยวกับภาษาอาหรับ","FALSE","Arabic.","Bahasa Arab","Bahasa Arab","TRUE","Arabic.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenian","Հայերէն","","hy","","","","","armenio","","armenio","FALSE","armênio","Arménio","Arménio","TRUE","arménien","","arménien","FALSE","אַרְמֶנִי","","אַרְמֶנִי","FALSE","الأرميني","","الأرميني","FALSE","अर्मेनियाई","","अर्मेनियाई","FALSE","আর্মেনিয়","আরমেনিয়ার ভাষা","আরমেনিয়ার ভাষা","TRUE","ଆର୍ମେନିଆନ୍","","ଆର୍ମେନିଆନ୍","FALSE","","FALSE","Armenia","Bahasa Armenia","Bahasa Armenia","TRUE","армянин","армянский","армянский","TRUE","亚美尼亚","","亚美尼亚","FALSE","Armenian","","Armenian","FALSE","armenian","Kiarmenia","Kiarmenia","TRUE","አርመንያኛ","አርመንያኛ","አርመንያኛ","TRUE","เกี่ยวกับอาร์เมเนีย","","เกี่ยวกับอาร์เมเนีย","FALSE","Armenia","Bahasa Armenia","Bahasa Armenia","TRUE","Armenian","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Assamese","অসমীয়া","Asamiya","as","Keyboard_isis_bangla","true","","","assamese","asamés","asamés","TRUE","assamese","Assamês","Assamês","TRUE","assamais","Assamais","Assamais","TRUE","אסמית","","אסמית","TRUE","الأسامية","الآسامية","الآسامية","FALSE","असमिया","","असमिया","FALSE","অসমিয়া","অসমীয়া","অসমীয়া","TRUE","Assamese","","Assamese","FALSE","","FALSE","Assam","Bahasa Assam","Bahasa Assam","TRUE","Ассамский","ассамский","ассамский","TRUE","阿萨姆","","阿萨姆","FALSE","Harshen Assam","","Harshen Assam","FALSE","Kiassam","Kiassamu","Kiassamu","TRUE","አሰሚስ","አሳሚስኛ","አሳሚስኛ","TRUE","ชาวอัสสัม","","ชาวอัสสัม","FALSE","Assamese.","Bahasa Assam","Bahasa Assam","TRUE","Assamese.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Avar","Магӏарул мацӏ ","Авар мацӏ","av","","","","","Avar","","Avar","FALSE","Avar","Ávaro","Ávaro","TRUE","avar","","avar","FALSE","AVAR","","AVAR","FALSE","أفار","","أفار","FALSE","Avar","","Avar","FALSE","Avar","আভর","আভর","TRUE","Avar","","Avar","FALSE","","FALSE","Avar","Bahasa Avar","Bahasa Avar","TRUE","Авар","аварский","аварский","TRUE","阿瓦尔","","阿瓦尔","FALSE","Avar","","Avar","FALSE","Avar","Kiavar","Kiavar","TRUE","Avar","አቫርኛ","አቫርኛ","TRUE","อื้ออึง","","อื้ออึง","FALSE","Avar","Bahasa Avar","Bahasa Avar","TRUE","Avar.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aymara","Aymar aru","","ay","Keyboard_european2","","","","aimara","aimara","aimara","TRUE","Aymara","Aimará","Aimará","TRUE","Aymara","Aymara","Aymara","TRUE","איימארית","","איימארית","TRUE","الأيمارا","الأَيْمَرِيَّة","الأَيْمَرِيَّة","FALSE","आयमारा","","आयमारा","FALSE","আয়মারা","আয়মারা","আয়মারা","TRUE","ଆୟମାରା","","ଆୟମାରା","FALSE","","FALSE","Aymara","Bahasa Aymara","Bahasa Aymara","TRUE","аймара","","аймара","TRUE","艾马拉","","艾马拉","FALSE","Aymara","","Aymara","FALSE","Aimara","Kiaimara","Kiaimara","TRUE","አይማራ","አይማራኛ","አይማራኛ","TRUE","อุการ้าว","","อุการ้าว","FALSE","Aymara","Bahasa Aymara","Bahasa Aymara","TRUE","Aymara.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azeri","Azərbaycan dili/Aзәрбајҹан дили","آذربايجانجا ديلي","az","","","","","azerí","","azerí","FALSE","Azeri","Azeri","Azeri","TRUE","azéri","","azéri","FALSE","אזור","","אזור","FALSE","اذربيجان","","اذربيجان","FALSE","अज़ेरी","","अज़ेरी","FALSE","আজেরি","আজারি","আজারি","TRUE","ଆଜେରି","","ଆଜେରି","FALSE","","FALSE","Azeri","Bahasa Azeri","Bahasa Azeri","TRUE","Azeri","азербайджанский","азербайджанский","TRUE","里人","","里人","FALSE","Azerbaijan","","Azerbaijan","FALSE","Azeri","Kiazeri","Kiazeri","TRUE","የአዜሪ","አዜሪኛ","አዜሪኛ","TRUE","อาเซอร์เอว","","อาเซอร์เอว","FALSE","Azeri","Bahasa Azeri","Bahasa Azeri","TRUE","Azeri.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bakumpai","Bara-Jida","Bakambai","bkr","","","","","Bakumpai","","Bakumpai","FALSE","Bakumpai","Bakumpai","Bakumpai","TRUE","Bakumpai","","Bakumpai","FALSE","Bakumpai","","Bakumpai","FALSE","Bakumpai","","Bakumpai","FALSE","Bakumpai","","Bakumpai","FALSE","Bakumpai","বাকুমপাই","বাকুমপাই","TRUE","Bakumpai","","Bakumpai","FALSE","","FALSE","Bakumpai","Bahasa Bakumpai","Bahasa Bakumpai","TRUE","Bakumpai","бакумпай","бакумпай","TRUE","Bakumpai","","Bakumpai","FALSE","Bakumpai","","Bakumpai","FALSE","Bakumpai","Bakumpai","Bakumpai","TRUE","Bakumpai","ባኩምባይኛ","ባኩምባይኛ","TRUE","Bakumpai","","Bakumpai","FALSE","Bakumpai.","Bahasa Bakumpai","Bahasa Bakumpai","TRUE","Bakumpai.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Balinese","Basa Bali","","ban","","","","","balinés","","balinés","FALSE","balinesa","Balinês","Balinês","TRUE","Balinais","","Balinais","FALSE","באלינזי","","באלינזי","FALSE","البالية","","البالية","FALSE","बाली","","बाली","FALSE","বালিনীয়","বালিনি","বালিনি","TRUE","Balinese","","Balinese","FALSE","","FALSE","Bali","Bahasa Bali","Bahasa Bali","TRUE","балийском","балийский","балийский","TRUE","巴厘","","巴厘","FALSE","Harshen Bali","","Harshen Bali","FALSE","Balinese","Balinizi","Balinizi","TRUE","ባሊኒዝ","ባሊኒዝኛ","ባሊኒዝኛ","TRUE","บาหลี","","บาหลี","FALSE","Bali.","Bahasa Bali","Bahasa Bali","TRUE","Balinese.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Balochi","بلۏچی"," Balòci","bal","","","","","balochi","","balochi","FALSE","Balochi","Balúchi","Balúchi","TRUE","baloutche","","baloutche","FALSE","Balochi","","Balochi","FALSE","البلوشية","","البلوشية","FALSE","बलूची","","बलूची","FALSE","Balochi,","বালুচি","বালুচি","TRUE","Balochi","","Balochi","FALSE","","FALSE","Balochi","Bahasa Balochi","Bahasa Balochi","TRUE","балучи","белуджский","белуджский","TRUE","俾路支","","俾路支","FALSE","Balochi","","Balochi","FALSE","Balochi","Balochi","Balochi","TRUE","Balochi","ባሎቺኛ","ባሎቺኛ","TRUE","balochi","","balochi","FALSE","Balochi.","Bahasa Balochi","Bahasa Balochi","TRUE","Balochi.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bambara","Bamanankan","","bm","","","","","Bambara","","Bambara","FALSE","Bambara","Bambara","Bambara","TRUE","Bambara","","Bambara","FALSE","באמבארה","","באמבארה","FALSE","البامبارا","","البامبارا","FALSE","बाम्बारा","","बाम्बारा","FALSE","বামবারা","বাম্বারা","বাম্বারা","TRUE","Bambara","","Bambara","FALSE","","FALSE","Bambara","Bahasa Bambara","Bahasa Bambara","TRUE","Bambara","бамбара","бамбара","TRUE","班巴拉","","班巴拉","FALSE","Bambara","","Bambara","FALSE","Kibambara","Bambara","Bambara","TRUE","Bambara","ባምባራኛ","ባምባራኛ","TRUE","บาแบม","","บาแบม","FALSE","Bambara","Bahasa Bambara","Bahasa Bambara","TRUE","Bambara.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Banjarese","Bahasa Banjar","","bjn","","","","","Banjarese","","Banjarese","FALSE","Banjarese","Banjarês","Banjarês","TRUE","Banjarais","","Banjarais","FALSE","Banjarese","","Banjarese","FALSE","Banjarese","","Banjarese","FALSE","Banjarese","","Banjarese","FALSE","Banjarese","বনজরি ","বনজরি ","TRUE","Banjarese","","Banjarese","FALSE","","FALSE","Banjar","Bahasa Banjar","Bahasa Banjar","TRUE","Banjarese","банджарский","банджарский","TRUE","Banjarese","","Banjarese","FALSE","Banjarese","","Banjarese","FALSE","Banjarese","Banjarizi","Banjarizi","TRUE","Banjarese","ባንጃሪዝኛ","ባንጃሪዝኛ","TRUE","แบนเนีย","","แบนเนีย","FALSE","Banjarese.","Bahasa Banjar","Bahasa Banjar","TRUE","Banjarese.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bari","Karo","Kutuk na Bari","bfa","","","","","Bari","","Bari","FALSE","Bari","Bari","Bari","TRUE","Bari","","Bari","FALSE","בארי","","בארי","FALSE","باري","","باري","FALSE","बरी","","बरी","FALSE","বারী","বারী ","বারী ","TRUE","Bari ରେ","","Bari ରେ","FALSE","","FALSE","Bari","Bahasa Bari","Bahasa Bari","TRUE","Бари","бари","бари","TRUE","巴里","","巴里","FALSE","Bari","","Bari","FALSE","Bari","Kibari","Kibari","TRUE","ባሪ","ባሪኛ","ባሪኛ","TRUE","บาริ","","บาริ","FALSE","Bari","Bahasa Bari","Bahasa Bari","TRUE","Bari.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Basque","Euskara","","eu","","","","","vasco","","vasco","FALSE","basco","Basco","Basco","TRUE","basque","","basque","FALSE","הבסקים","","הבסקים","FALSE","الباسكي","","الباسكي","FALSE","बस्क","","बस्क","FALSE","বাস্ক","বাস্ক","বাস্ক","TRUE","Basque","","Basque","FALSE","","FALSE","basque","Bahasa Basque","Bahasa Basque","TRUE","баскский","","баскский","TRUE","巴斯克","","巴斯克","FALSE","Basque","","Basque","FALSE","basque","Kibaski","Kibaski","TRUE","ባስክ","ባስክኛ","ባስክኛ","TRUE","บาสก์","","บาสก์","FALSE","Basque.","Bahasa Basque","Bahasa Basque","TRUE","Basko","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Batak Toba","","","bbc","","","","","Batak Toba","","Batak Toba","FALSE","Batak Toba","Batak Toba","Batak Toba","TRUE","Batak Toba","","Batak Toba","FALSE","באטאק טובא","","באטאק טובא","FALSE","باتاك توبا","","باتاك توبا","FALSE","बटक तोबा","","बटक तोबा","FALSE","Batak Toba,","বাতক টোবা","বাতক টোবা","TRUE","ବାଟାକ୍ ଟୋବା","","ବାଟାକ୍ ଟୋବା","FALSE","","FALSE","Batak Toba","Bahasa Batak Toba","Bahasa Batak Toba","TRUE","Батак Тоба","батак-тоба","батак-тоба","TRUE","多巴巴塔克","","多巴巴塔克","FALSE","Batak Toba","","Batak Toba","FALSE","Batak Toba","Kibatak Toba","Kibatak Toba","TRUE","ባታክ ቶባ","ባታክ ቶባኛ","ባታክ ቶባኛ","TRUE","Batak Toba","","Batak Toba","FALSE","Batak Toba.","Bahasa Batak Toba","Bahasa Batak Toba","TRUE","Batak Toba.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
